,trade_date,market,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
63,2021-04-01T00:00:00.000,JKM,18.972083673962892,19.725487718777305,19.930961549181234,20.02794519713189,20.268760526365295,18.763596227379704,21.941865436067697,23.45881023466311,24.413030703058965,24.508096595259186,22.531438346773374,18.70907717104586,17.614860532868132,17.48938451376813,17.57924506893145,17.93786539426311,18.29675968470197,19.269335815280577,20.118079717402413,20.704365046821625,21.721049559660273,21.721049559660273,19.946303595184727,17.021726075768786,16.026136876184943,15.911893426480358,15.99353502842752,16.320101436216166,16.64639387889761,17.51541119895263,18.399222634796736,18.93537234959739,19.4953570287249,19.4953570287249,17.902523895433635,16.257911356880577
2657,2021-04-09T00:00:00.000,TTF,18.954999999999995,18.940000000000005,18.779999999999987,18.7923,18.868900000000004,19.328600000000005,20.023900000000015,20.2476,20.538400000000014,20.488699999999998,19.9929,17.057700000000008,16.566799999999997,16.3055,16.19389999999999,16.2921,16.59410000000001,17.104100000000006,17.99959999999999,18.629300000000008,18.67489999999999,18.62970000000001,18.1789,16.263399999999994,15.795399999999987,15.5462,15.456399999999988,15.55009999999999,15.838399999999995,16.206999999999997,17.213500000000007,17.76440000000001,17.789899999999992,17.759999999999994,17.377799999999993,15.4178
2600,2021-01-18T00:00:00.000,TTF,18.899999999999988,18.259999999999994,16.207800000000006,15.810549999999992,15.654299999999994,15.570879999999992,15.681199999999993,16.036850000000012,16.62337000000001,17.223189999999992,17.568699999999996,17.839119999999994,17.795959999999994,17.365329999999986,15.645840000000005,15.19560000000001,14.955870000000003,14.736150000000006,14.825460000000007,15.100340000000006,15.657230000000013,16.558949999999992,16.97411,17.175049999999995,17.13349,16.718900000000005,14.97962999999999,14.548549999999992,14.31903,14.092649999999995,14.178060000000004,14.440929999999993,14.94574999999999,15.728250000000001,16.27852000000001,16.286110000000004
1292,2021-01-07T00:00:00.000,THE,18.88999999999999,18.334999999999997,17.394909999999992,16.931550000000012,16.717080000000006,16.637310000000006,16.752180000000003,16.971530000000016,17.254990000000006,18.16327999999999,18.38016,18.35928000000001,18.31484999999999,17.871669999999998,15.809469999999992,15.360850000000013,15.121980000000006,14.961099999999991,15.050439999999993,15.325409999999993,15.632349999999988,16.521700000000006,16.931170000000005,17.067099999999993,17.026259999999994,16.618859999999998,15.238879999999996,14.80869000000001,14.579639999999996,14.412350000000002,14.49793999999999,14.76137,15.119349999999999,15.897850000000004,16.445310000000003,16.495769999999997
1305,2021-01-26T00:00:00.000,THE,18.805000000000003,18.44000000000001,17.411920000000006,16.91264999999999,16.71625999999999,16.745659999999994,16.828550000000003,17.063249999999993,17.50092,18.033529999999992,18.298530000000014,18.46744999999999,18.42286000000001,17.978029999999993,16.236390000000014,15.776630000000008,15.531839999999992,15.32038,15.411650000000005,15.692569999999993,16.003229999999988,16.915950000000006,17.33618000000001,17.481549999999984,17.439619999999994,17.021369999999997,15.170189999999995,14.741409999999988,14.513100000000005,14.290869999999996,14.37585000000001,14.637380000000006,15.129349999999992,15.985700000000005,16.37997000000001,16.551300000000012
2651,2021-03-30T00:00:00.000,TTF,18.774999999999988,18.600000000000012,18.675299999999996,18.592800000000008,18.648800000000005,18.763899999999992,19.1481,19.857999999999993,20.15830000000001,20.3818,20.332499999999992,19.84050000000001,17.321599999999993,16.823199999999993,16.55779999999999,16.483499999999996,16.583399999999994,16.89089999999999,17.35000000000001,18.258300000000006,18.897100000000012,18.919800000000006,18.874000000000013,18.4173,16.322299999999988,15.852599999999997,15.602500000000004,15.518300000000007,15.612300000000003,15.901799999999993,16.245,17.25389999999999,17.80610000000001,17.8,17.769999999999992,17.353
67,2021-04-09T00:00:00.000,JKM,18.740756533701187,19.935819269183582,20.098782369476634,20.234584953054178,20.36848630046164,20.570017334490718,21.95601850248314,23.474019781712933,24.284489600503722,24.379279803840852,22.412858393638,17.98623737934435,16.934310566952686,16.813717872735825,16.89981671072399,17.244755273010952,17.58969383529792,18.75650963339618,19.582732551881964,20.15310340290765,21.615968833204963,21.615968833204963,19.849720431195415,16.939199459961475,15.948655415346863,15.83485285030888,15.916062795288253,16.24090257520574,16.56574235512323,17.430533207345032,18.310262343760368,18.843694892052962,19.32742369475618,19.32742369475618,17.748311252916487,16.117865434484486
1346,2021-03-24T00:00:00.000,THE,18.740000000000006,18.665000000000003,18.69799999999999,18.6709,18.689200000000014,18.848400000000012,19.288400000000014,20.014799999999997,20.150999999999996,20.1807,20.1316,19.642299999999988,17.664199999999997,17.16570000000001,16.900199999999995,16.821000000000012,16.920900000000003,17.228299999999994,17.670000000000005,18.490900000000007,18.994299999999996,19.0373,19.0215,18.535000000000007,16.641099999999998,16.169899999999988,15.918900000000006,15.830300000000008,15.9246,16.21499999999999,16.567299999999996,17.496899999999993,17.9905,18.037899999999997,17.967800000000008,17.589699999999997
1338,2021-03-12T00:00:00.000,THE,18.720000000000013,18.675,18.66233,18.67905,18.75261,18.912379999999988,19.215919999999993,20.166190000000018,20.34225,20.35230000000001,20.302860000000006,19.809639999999995,17.782570000000007,17.28003999999999,17.012470000000004,16.914870000000004,17.01544999999999,17.324999999999992,17.72807,18.55112000000001,19.095980000000008,19.09775000000001,19.051859999999994,18.594119999999986,16.43700000000001,15.970610000000008,15.722280000000008,15.612129999999993,15.705350000000006,15.992279999999996,16.468180000000007,17.387780000000006,17.876219999999993,17.933960000000003,17.874169999999996,17.490149999999986
2649,2021-03-26T00:00:00.000,TTF,18.709999999999994,18.45,18.538799999999995,18.392600000000012,18.4665,18.599600000000006,19.0486,19.7548,20.05349999999999,20.30349999999999,20.254399999999993,19.764300000000006,17.349800000000005,16.850500000000007,16.5847,16.505800000000008,16.605799999999995,16.913700000000002,17.338000000000005,18.24579999999999,18.884099999999993,18.902199999999997,18.856400000000004,18.4001,16.32490000000001,15.855099999999995,15.605000000000008,15.51580000000001,15.609800000000005,15.899200000000006,16.254500000000004,17.264000000000006,17.81650000000001,17.810099999999995,17.7801,17.362900000000007
